author,body,datalegacylang,clean_text
DoIt1745,@realMaalouf #BanIslam 🚫\n\nThat is all.\n\nThere is no other way.,en,that is all. there is no other way.
cryttyr,"#BanIslam. Islam is a whole alternate civilisation that's come to destroy Western Civilisation. It's not multiculturalism, it's Brown Supremacism.",en,". islam is a whole alternate civilisation that's come to destroy western civilisation. it's not multiculturalism, it's brown supremacism."
cryttyr,Believe them when they tell you. The women are as bad as the men. #BanIslam,en,believe them when they tell you. the women are as bad as the men.
BertfromEng,@Xena_chronicle @Freikorps9 @SkyNews @ukhomeoffice @ShabanaMahmood We want all of you stinkers out of our country. #banislam,en,we want all of you stinkers out of our country.
HoosierAmerica,Pay attention. They take over from within #banislam,en,pay attention. they take over from within
FullMtlPatriot,This is why we need to deport ALL Muslims who have come to our country since 9/11/01. Islam is a totalitarian system of conquest and oppression that is incompatible with American culture. #BanIslam,en,this is why we need to deport all muslims who have come to our country since 9/11/01. islam is a totalitarian system of conquest and oppression that is incompatible with american culture.
HX1MAN,Any politician not concerned with this is unfit to hold office.  #BanIslam in the U.S..,en,any politician not concerned with this is unfit to hold office. in the u.s..
Dedicata,@LizaRosen0000 Child abuse is systemic in Muslim culture. \n\n#BanIslam,en,child abuse is systemic in muslim culture.
SouthernPatri16,@ForgiatoBlow47 Yes! Arkansas needs this law passed!\n@SarahHuckabee \n\n#BanShariaLaw \n#BanIslam,en,yes! arkansas needs this law passed! bansharialaw
CR_RefBapt,"@WWUTTcom She needs to be censured, impeached, denaturalized, and deported. #DeportThemAll #BanIslam #AbolishIslam",en,"she needs to be censured, impeached, denaturalized, and deported. abolishislam"
mac_na_Alba,@TRobinsonNewEra Disgusting how the mooslims are always screaming there needs to be more respect for Islam when they NEVER show ANY respect for Christianity. Western CIVILizations need to unite and #BanIslam.\n#IslamIsHate,en,disgusting how the mooslims are always screaming there needs to be more respect for islam when they never show any respect for christianity. western civilizations need to unite and . islamishate
Fun1Deb,"Islam is the fastest growing “religion” in US prisons.  A place full of criminals with history of violence towards law abiding citizens,  100% dependent on taxpayers.  I guess it takes one to know one. #BanIslam",en,"islam is the fastest growing religion in us prisons. a place full of criminals with history of violence towards law abiding citizens, 100% dependent on taxpayers. i guess it takes one to know one."
lewinskylou2,14-year-old Turkish Muslim girl named Nour STABBED TO DEATH in Dutch village Blerick in The Netherlands by her Turkish Muslim parents\n#banislam,en,14-year-old turkish muslim girl named nour stabbed to death in dutch village blerick in the netherlands by her turkish muslim parents
vonsheepish,"The danger is in spending too much energy attempting to change Leftist minds.\nBetter to make the truth available for all who WANT to see than to become vulnerably distracted, bogged down, or tied up.\n\n#BanIslam root and branch. https://t.co/5S0GDviCm5",en,"the danger is in spending too much energy attempting to change leftist minds. better to make the truth available for all who want to see than to become vulnerably distracted, bogged down, or tied up. root and branch."
PapaToThem,@RadioGenoa #Islam is death and darkness. #banIslam ##banHalal,en,islam is death and darkness. #banhalal
somcareeraxis,@realMaalouf Only solution #banislam,en,only solution
FullMtlPatriot,Western civilization is being “enriched.” #BanIslam #DeportThemALL,en,western civilization is being enriched.
cryttyr,The women are as bad as the men. #BanIslam,en,the women are as bad as the men.
SoFlobrah,"@RepFine It happens everywhere that 3rd worlders go.\nYou cannot educate someone or expect them to stop their 3rd world, barbaric mindset by dropping them into a 1st world country.\nThis woman found her missing cat on this African’s grill being cooked.\n#Remigration now!\n#banIslam https://t.co/q0S4AXtaG3",en,"it happens everywhere that 3rd worlders go. you cannot educate someone or expect them to stop their 3rd world, barbaric mindset by dropping them into a 1st world country. this woman found her missing cat on this africans grill being cooked. remigration now!"
LadyBookworm117,"@MOSSADil No country can know prosper or know peace under Islamic law. People cannot be innovative, productive or happy without freedom and autonomy. Countries can't be at peace when they are ruled by an oppressive ideology that hates everyone who isn't straight, male and Muslim. #BanIslam",en,"no country can know prosper or know peace under islamic law. people cannot be innovative, productive or happy without freedom and autonomy. countries can't be at peace when they are ruled by an oppressive ideology that hates everyone who isn't straight, male and muslim."
Menshmister,Islam evil and Pedophile👇\n\n#islamisevil #banislam #islamofobie #jesus #islam \n\nhttps://t.co/6mT0EBkjJG,en,islam evil and pedophile islamisevil islamofobie jesus islam
MarcellasFloors,@ianmiles These locusts only devastate the lands they invade. #BanISlam,en,these locusts only devastate the lands they invade.
MarcellasFloors,"@onyxk711 @ianmiles Coming from a member of a destructive demographic known for rape gangs, wife beaters and goat humpers, that is hilarious. #BanIslam",en,"coming from a member of a destructive demographic known for rape gangs, wife beaters and goat humpers, that is hilarious."
grim_reefer4,"@MetalHammer Tommy's a hero. End of story. If you're not on his side, you are on the WRONG side. #BanIslam",en,"tommy's a hero. end of story. if you're not on his side, you are on the wrong side."
cryttyr,Everywhere is a protest! #BanIslam,en,everywhere is a protest!
cryttyr,#BanIslam. It's an evil death cult run by Brown Supremacists. What is good about it?,en,. it's an evil death cult run by brown supremacists. what is good about it?
cryttyr,"#BanIslam is coming. The question is, does the UK have to fully collapse before we implement the ban on Australia?",en,"is coming. the question is, does the uk have to fully collapse before we implement the ban on australia?"
GarethDavies007,"Belated congratulations to both you and @liamtuffs1 on an excellent interview, Kathy \n\nYou correctly identify the existential threat to our country - Islam and Islamification \n\n#banislam",en,"belated congratulations to both you and on an excellent interview, kathy you correctly identify the existential threat to our country - islam and islamification"
cryttyr,"@TruthFairy131 It's layers of gangs. You've got the Islamic governments, funding diaspora mafia, then they hire these African goons. #BanIslam",en,"it's layers of gangs. you've got the islamic governments, funding diaspora mafia, then they hire these african goons."
cryttyr,@Ryandally08 @Jumpedup3 Muslims love murder. Islam is a death cult. The women are as bad as the men. #BanIslam,en,muslims love murder. islam is a death cult. the women are as bad as the men.
SilverFoxInOz,Here’s a thought: why are Muslims inherently insane? #BanIslam,en,heres a thought: why are muslims inherently insane?
germarykelly,Muslims are not to be trusted #BanIslam #BanHalal #IslamOut #DeathCult #ReligionOfDeath #ChristIsKing,en,muslims are not to be trusted banhalal islamout deathcult religionofdeath christisking
EagleLionRise,@marklevinshow Also #banislam,en,also
Bosmans10503921,#BanIslam  worldwide\n.\nSHARE\n.\nhttps://t.co/EGIoag8E8o,en,worldwide . share .
Bosmans10503921,#BanIslam  worldwide. \nhttps://t.co/zY6F1n2Upk,en,worldwide.
CIRCA2025,#America must #BanIslam !! The threat is within !!,en,america must !! the threat is within !!
Bosmans10503921,#BanIslam  worldwide\n. https://t.co/hYaMKoLO0R,en,worldwide .
Bosmans10503921,@Echo16049 @LizaRosen0000 #BanIslam worldwide https://t.co/U82eadLoss,en,worldwide
Bosmans10503921,@JackT337893232 @LizaRosen0000 #BanIslam worldwide.\n. https://t.co/lLD7UgfMh2,en,worldwide. .
Mary14467376106,Islam is a demonic death cult with a mission of destroying Jews and Christians worldwide. \n#BanIslam,en,islam is a demonic death cult with a mission of destroying jews and christians worldwide.
HX1MAN,People don't fear Muslims enough.  #BanIslam,en,people don't fear muslims enough.
HoosierAmerica,They won’t coexist #banislam,en,they wont coexist
JFlarety24766,@Alinavisooo Fuck no! #BanIslam #BanShariaLaw,en,fuck no! bansharialaw
KrackTeja83461,"Islam is the Current Global Pandemic. World Countries must Isolate or Deport them to Islands where no chance of Human Contact. COVID is Tutorial, Islam is real Game. #BanIslam, #DeportIslam",en,"islam is the current global pandemic. world countries must isolate or deport them to islands where no chance of human contact. covid is tutorial, islam is real game. , deportislam"
GarethDavies007,It’s a sign of domination\n\nWhy do we allow these exhibitions of domination by one religion when more successful Hindus &amp; Sikhs make no such demands\n\nThey only do it because we let them?\n\nWhy don’t we stop them from doing it?\n\nSay no to these exhibitions of domination\n\n#BanIslam,en,its a sign of domination why do we allow these exhibitions of domination by one religion when more successful hindus &amp; sikhs make no such demands they only do it because we let them? why dont we stop them from doing it? say no to these exhibitions of domination
SoFlobrah,"Maybe the #AWFULs should read this &amp; take it to heart.\nWhen We the People speak out against Islam it’s for a good reason, it’s a barbaric death cult that worships a cousin-marrying, inbreeding pdf file.\n70k terrorist attacks by Muslims 1979-2024- #banIslam https://t.co/JFKDrVhFZB",en,"maybe the awfuls should read this &amp; take it to heart. when we the people speak out against islam its for a good reason, its a barbaric death cult that worships a cousin-marrying, inbreeding pdf file. 70k terrorist attacks by muslims 1979-2024-"
JohnnyOPatrick,@MarioNawfal They don't even do these public prayers in the natural country. This is a display of numbers for 1 reason. #banislam,en,they don't even do these public prayers in the natural country. this is a display of numbers for 1 reason.
DoIt1745,"""@EYakoby They're called Muslims.\n\nAdherents of Islam—a sick, perverted, sadistic, evil death cult founded by a demon-possessed rapist pedophile mass murderer psychopath fake \""prophet\"" POS.\n\nAn ideology that is an anti-religion and NOT defensible under \""freedom of religion.\""\n\n#BanIslam 🚫""",en,""" they're called muslims. adherents of islama sick, perverted, sadistic, evil death cult founded by a demon-possessed rapist pedophile mass murderer psychopath fake \""prophet\"" pos. an ideology that is an anti-religion and not defensible under \""freedom of religion.\"" """
Babukishan,@DwightSinghS @JimmyCanuck56 #Wrong always have to stop 🛑 the name of #Religious !! We r in @Canada so #banislam #bankhalistanis #banblm #banviolent !!#Bill21 all over @Canada !! @google @nationalpost @GlobalNational @ctvottawa,en,wrong always have to stop the name of religious !! we r in so bankhalistanis banblm banviolent !!bill21 all over !!
AllisonVG,@sesamestreet Fuck you no. #banislam,en,fuck you no.
XAEA129,@Sofia50020Sofia I don't want to hear call to prayer 🤬 #BanIslam,en,i don't want to hear call to prayer
vonsheepish,Enemy within.\n\n#BanIslam root and branch. https://t.co/h562WM5Zlv,en,enemy within. root and branch.
cryttyr,The Business Case to #BanIslam,en,the business case to
cryttyr,Aggressive Street praying in Sydney. #BanIslam,en,aggressive street praying in sydney.
Babukishan,@ndtvindia #BanIslam in #West by #Laws !! @nationalpost  @RebelNews_UK @RebelNews_USA @RebelNews_QC @RebelNews_AU @skynews @BBCWorld,en,in west by laws !!
graham0324,This will end badly...#banislam #nomoremuslims,en,this will end badly... nomoremuslims
graham0324,This is why these savages need to be shipped out of Western Society.\n\n#banislam #nomoremuslims,en,this is why these savages need to be shipped out of western society. nomoremuslims
FullMtlPatriot,Any “religion“ that commands its followers to rape a woman in order to prevent her from going to heaven is just evil in disguise. ☪️ #BanIslam https://t.co/75UOVU487E,en,any religion that commands its followers to rape a woman in order to prevent her from going to heaven is just evil in disguise.
FullMtlPatriot,"This is what Muslims do to women. Islam is an evil system of oppression, violence, and death. #BanIslam https://t.co/cJ8D1vKgex",en,"this is what muslims do to women. islam is an evil system of oppression, violence, and death."
AnnPeck96857,A message to @Pontifex and the  @VaticanNews \n#notmypope #banislam https://t.co/6ApHkRLQyL,en,a message to and the notmypope
cryttyr,@WearThePeaceCo Insufferable turds. #BanIslam,en,insufferable turds.
cryttyr,"Coming to Australia courtesy of the bullshit European free trade scam. #BanIslam it's bad culture at best, civilisational collapse at worst.",en,"coming to australia courtesy of the bullshit european free trade scam. it's bad culture at best, civilisational collapse at worst."
mac_na_Alba,@MisslnAction The entirety of Western Civilization should unite and #BanIslam and deport ALL of its followers.,en,the entirety of western civilization should unite and and deport all of its followers.
mac_na_Alba,@Sunkized01 Fuck no! \n#IslamIsHate\n#BanIslam,en,fuck no! islamishate
GnomeGnutzz,@DavidJHarrisJr Agreed #BanIslam,en,agreed
BluStConserv,Anyone who believes islam and Christianity are compatible are is someone that cannot help trusted. \n#BanIslam,en,anyone who believes islam and christianity are compatible are is someone that cannot help trusted.
Shrisuchitraa,@WHLeavitt #BanIslam\nLooks like https://t.co/edMim8Wu4f  correct. These people are savages. Do not fit in a civilisation,en,looks like correct. these people are savages. do not fit in a civilisation
cryttyr,@HollyGrayle #BanIslam the women are just as bad as the men. https://t.co/7dh9JIkefG,en,the women are just as bad as the men.
cryttyr,@MattCas04807118 @VeitchAeternis Muslims at 3% was bad. Muslims at 6% is insufferable. Can you imagine what 12% will be like? 24%? #BanIslam,en,muslims at 3% was bad. muslims at 6% is insufferable. can you imagine what 12% will be like? 24%?
3AMArtPR,#BanIslam from the USA!!! #LFG! 🇺🇸RIP to these ladies. I'm assuming her mom died too??? Awful.,en,from the usa!!! lfg! rip to these ladies. i'm assuming her mom died too??? awful.
AllisaBlue,@SamanthaTaghoy She is what paid evil looks like. \nYou aren't angry enough.\nBeing nice is going to get millions killed. \n#ToArms\n#BanIslam \nKick them out now.,en,she is what paid evil looks like. you aren't angry enough. being nice is going to get millions killed. toarms kick them out now.
Menshmister,Why you Must hate Islam more now👇\n\n#islamisevil #banislam #islamofobie #jesus #islam \n\nhttps://t.co/2igLpmxsU6,en,why you must hate islam more now islamisevil islamofobie jesus islam
cryttyr,Never forget how bad their women are. #BanIslam,en,never forget how bad their women are.
cryttyr,"@RupertLowe10 It's happening in Australia, too. Our recent Muslim population growth is even steeper than the UK. I propose we\n#BanIslam\n#Protect ex-muslims \n#Remigration \nReligious freedom was to stop Catholic and Protestant sectarianism, not this new scourge of a whole alternate civilisation. https://t.co/lexgNut0W9",en,"it's happening in australia, too. our recent muslim population growth is even steeper than the uk. i propose we protect ex-muslims remigration religious freedom was to stop catholic and protestant sectarianism, not this new scourge of a whole alternate civilisation."
cryttyr,@JacintaAllanMP #BanIslam. This brand new experiment to try an integrate a whole alternate civilisation into Western Civilisation is not working. Look at the UK collapsing. Look at Europe. Now look at the growth of Muslims in Australia. Western Leaders failing their stewardship is unAustralian. https://t.co/CaDJBajZu9,en,. this brand new experiment to try an integrate a whole alternate civilisation into western civilisation is not working. look at the uk collapsing. look at europe. now look at the growth of muslims in australia. western leaders failing their stewardship is unaustralian.
LARGEINFANTGDK,God is good #banislam,en,god is good
cryttyr,"@thinking_muslim @MehreenKhn A perfect demonstration of the inferiority complex that develops in all Brown Supremacists. Muslims are most affected, as they are almost uniquely sensitive about their civilisational shortcomings. The conversation is turning to #BanIslam.",en,"a perfect demonstration of the inferiority complex that develops in all brown supremacists. muslims are most affected, as they are almost uniquely sensitive about their civilisational shortcomings. the conversation is turning to ."
cryttyr,Australia. Muslim men are the most easily offended men on the planet. Time to #BanIslam throughout Western Civilisation,en,australia. muslim men are the most easily offended men on the planet. time to throughout western civilisation
cryttyr,"@NoticerNews They must have evidence it's tied to the global terrorism of Iran, Turkey, Qatar, and suggests there are other investigations underway. This wouldn't be such a problem if we just #BanIslam",en,"they must have evidence it's tied to the global terrorism of iran, turkey, qatar, and suggests there are other investigations underway. this wouldn't be such a problem if we just"
EHz365,antithetical to the liberties and rights protected by the Constitution of the United States of America. #BanIslam,en,antithetical to the liberties and rights protected by the constitution of the united states of america.
JaySci75,"@TCNetwork Wrong, Fu☪️ker Carlson! But you love sodomites and pedophiles. That why you love the Death ☪️ult. Yikes! STIGMA!!!🦠🥴🤮🤮🤮\n#DeislamisetheWorld #Banislam https://t.co/9oss71IyAB",en,"wrong, fuker carlson! but you love sodomites and pedophiles. that why you love the death ult. yikes! stigma!!! deislamisetheworld"
LycanTherian,@wakeupusa Because every other was of dressing doesnt have a tendency to go 💥!\nFUCK ISLAM!\n#BanIslam,en,because every other was of dressing doesnt have a tendency to go ! fuck islam!
Ekbacken57,@Pontifex @realDonaldTrump #RealPontifexPopeUrbanII   #BanIslam \n\n       Follow Me https://t.co/WC6jx2srI8,en,realpontifexpopeurbanii follow me
cryttyr,"@AlboMP Why can't Muslims do social cohesion in their countries? This experiment with Islam, a whole alternate civilisation to Western Civilisation, is BRAND NEW. The UK and Europe are demonstrating how it doesn't work and how it causes #collapse. It's time to talk about how to #BanIslam https://t.co/Y8yyyfVPv6",en,"why can't muslims do social cohesion in their countries? this experiment with islam, a whole alternate civilisation to western civilisation, is brand new. the uk and europe are demonstrating how it doesn't work and how it causes collapse. it's time to talk about how to"
jmavankal,"@BasilTheGreat 😭😭😭. Wake the fu$k up Brits, and protect the vulnerable in your country from these Muslim rapists. \n\n#IslamIsTheProblem\n#BanIslam",en,". wake the fu$k up brits, and protect the vulnerable in your country from these muslim rapists."
jmavankal,@benonwine Absolutely NOT!!! Why would anyone offer that freak handbook anywhere?\n\n#IslamIsTheProblem\n#BanIslam,en,absolutely not!!! why would anyone offer that freak handbook anywhere?
AUepp86,"Dearbornistan, the Muslim Capital of America. Who would have guessed that importing millions of 7th century fanatics would lead to this? #IslamIsTheProblem",en,"dearbornistan, the muslim capital of america. who would have guessed that importing millions of 7th century fanatics would lead to this?"
basscarl777,"Mirt is the word. Muhammad's preferred outfit. Especially Aisha's mirt.\nSahih al-Bukhari 3775, also Sahih Muslim and Sunan an-Nasa'i narrate Muhammad saying he received revelation while wearing Aisha's garments.\n#IslamIsTheProblem\n#StayAwayFromIslam",en,"mirt is the word. muhammad's preferred outfit. especially aisha's mirt. sahih al-bukhari 3775, also sahih muslim and sunan an-nasa'i narrate muhammad saying he received revelation while wearing aisha's garments. stayawayfromislam"
basscarl777,@Acts17David More male Muslim interpretive dance. And here I was thinking music and dance was #haram.\n#IslamIsTheProblem \n#StayAwayFromIslam,en,more male muslim interpretive dance. and here i was thinking music and dance was haram. stayawayfromislam
AUepp86,But it’s not terrorism right Mayor Mamdani? #IslamIsTheProblem,en,but its not terrorism right mayor mamdani?
KarolynSwete,Iranian imam: “Women are animals created by Allah to be used by men. #IslamIsTheProblem,en,iranian imam: women are animals created by allah to be used by men.
basscarl777,Adherent to the #ReligionOfPeace peacefully offering a reward to those who peacefully behead Christian pastors in the name of peace.\n#IslamIsTheProblem \n#StayAwayFromIslam,en,adherent to the religionofpeace peacefully offering a reward to those who peacefully behead christian pastors in the name of peace. stayawayfromislam
sk_lakhawat,⚫️⚫️⚫️🤧🤧🤧\nTha Parasites \n#Islamistheproblem \n#BanTheBook https://t.co/I0SYZ2npZI,en,tha parasites banthebook
bigggfudge69,"ISLAM is the most dangerous ideology destroying our world , a barbaric death cult of terrorism, oppression, and endless jihad. \n\nThis toxic religion must be exposed, crushed, and flushed down the toilet of history FOREVER. Enough!\n\n#IslamIsTheProblem https://t.co/K9fR2Yau6m",en,"islam is the most dangerous ideology destroying our world , a barbaric death cult of terrorism, oppression, and endless jihad. this toxic religion must be exposed, crushed, and flushed down the toilet of history forever. enough!"
AUepp86,We’ve been warned #Texas. You can listen to @TRobinsonNewEra and @AmyMek and others on the dangers of civilization jihad or you can stick your head in the sand. Islam is a cancer that will kill western civilization if we don’t stop it now. #IslamIsTheProblem,en,weve been warned texas. you can listen to and and others on the dangers of civilization jihad or you can stick your head in the sand. islam is a cancer that will kill western civilization if we dont stop it now.
A8te_Ball,@AlexDuncanTX Watch this. A video of an interview with a former muslim explains the mindset of taking over the world.\n\n#IslamIsTheProblem      #WakeUpToIslam,en,watch this. a video of an interview with a former muslim explains the mindset of taking over the world. wakeuptoislam
moonman_outloud,This is your future WITHOUT Mass Deportations.\n\n#DeportThemAll #IslamIsTheProblem #OpenBorders #MassDeportationsNOW #MigrantCrisis,en,this is your future without mass deportations. openborders migrantcrisis
sk_lakhawat,🎯🎯🎯 thanks to whoever made this 🙏👍🚩🙌👏👏👏\n*लव जेहाद की झांकी*\nAwareness is Important 🙏\n#Islamistheproblem \n#BanTheBook https://t.co/c3MAp7IlW6,en,thanks to whoever made this * * awareness is important banthebook
Bryan_APDS,"""Important message to @AlboMP please utter the following words :\n\""Radical Islamist Extremists\"" \nThey are more prevalent and far more dangerous than a handful of Right-wing loons\n#IslamIsTheProblem""",en,"""important message to please utter the following words : \""radical islamist extremists\"" they are more prevalent and far more dangerous than a handful of right-wing loons """
KamalBhandari__,Death cult Islam.\nThis picture is neither from medieval times nor an AI.\nThis pic shows real face of Islam in 2026.\nImagine how cruel and barbaric it would have been in mediaeval period.\n#endIslam\n#Islamistheproblem https://t.co/Xf4uxGLcFj,en,death cult islam. this picture is neither from medieval times nor an ai. this pic shows real face of islam in 2026. imagine how cruel and barbaric it would have been in mediaeval period. endislam
Bharat101010101,@ARanganathan72 @MaaneetGurtiDD @zoo_bear Wow Bang on..\nZoobair kmows abt it.. \nEntire mulla cult knows abt it.. But they will not do admit it..\n#islamistheproblem,en,wow bang on.. zoobair kmows abt it.. entire mulla cult knows abt it.. but they will not do admit it..
KamalBhandari__,"Islam is a cult of psychos:\n\nI am fasting, so you must do so.\nI accept Allah as my God, you must do so.\nI accept Mohmmad as my prophet, you must do so.\n\nOtherwise... I'll kill you. \n\n#BanIslam \n#IslamIsTheProblem",en,"islam is a cult of psychos: i am fasting, so you must do so. i accept allah as my god, you must do so. i accept mohmmad as my prophet, you must do so. otherwise... i'll kill you."
Bryan_APDS,"Albo and his failed appeasement experiment.....\nNo one will now take him or Labor seriously about how friendly Muslims are, we have now seen it with our own eyes\nGame Over........DEPORT\n#IslamIsTheProblem",en,"albo and his failed appeasement experiment..... no one will now take him or labor seriously about how friendly muslims are, we have now seen it with our own eyes game over........deport"
eriksson_magnus,Holy Weekend Turns Deadly as Christians Are Slaughtered in Nigeria (Video) - #IslamIsTheProblem https://t.co/saQSXCgutG,en,holy weekend turns deadly as christians are slaughtered in nigeria (video) -
ketan_patil2024,@TheMuslimMatter Every  such islamic should be eliminated immediately and ruthlessly. \nBharat should not tolerate islamic miscreant anymore. \n\n#IslamIsTheProblem,en,every such islamic should be eliminated immediately and ruthlessly. bharat should not tolerate islamic miscreant anymore.
DDT_required,Get the fck out of the USA and go live in a country where your ridiculous delusional religious views fit in.\nWE DONT WANT YOU HERE.\n#IslamIsTheProblem #Islamic_Terrorists_Organization \n#StopImportingIslam #StopIslam #BanIslam #StopShariaLaw #EducateYourselfOnIslam #WakeUpAmerica,en,get the fck out of the usa and go live in a country where your ridiculous delusional religious views fit in. we dont want you here. islamic_terrorists_organization stopimportingislam stopsharialaw educateyourselfonislam wakeupamerica
basscarl777,"If this happened in Lebanon, and in all other countries colonised by Islam, what will happen in Europe, the UK and any other country that Islam seeks to colonise?\n#IslamIsTheProblem \n#StayAwayFromIslam",en,"if this happened in lebanon, and in all other countries colonised by islam, what will happen in europe, the uk and any other country that islam seeks to colonise? stayawayfromislam"
HassanClan,#Truth \n#evil\n#islamistheproblem\n#notthesamegod\n\nSolution = #Deport #Expel #Denaturalize #BANsharialaw,en,truth evil notthesamegod solution = deport expel denaturalize bansharialaw
dave_gosh,Deport the @IlhanMN @Ilhan send that Vile Muslim SCUM packing back to where she came! #IslamIsTheProblem #BantheBurka #BanIslam #DeportThemAll,en,deport the send that vile muslim scum packing back to where she came! bantheburka
KamalBhandari__,"Islam means:\nHatred Hatred Hatred.\nMuslims claim minority benefits in India, But threaten the majority Hindus.\n\nSardar Patel has rightly said a community which can force division of a country cannot be called a minority.\n\nMake India Muslim-free.\n#banislam \n#IslamIsTheProblem https://t.co/eCPXB8902u",en,"islam means: hatred hatred hatred. muslims claim minority benefits in india, but threaten the majority hindus. sardar patel has rightly said a community which can force division of a country cannot be called a minority. make india muslim-free."
Bryan_APDS,And some want this barbaric Sharia Law in Australia \n#IslamIsTheProblem,en,and some want this barbaric sharia law in australia
chazax1,"None that push against the tide are praised, #islamistheproblem. I watched a grown man burst into tears today remembering a victim of the Manchester arena bombing. Just a child. We can't co-exist. #enoughisenough wasn't his daughter, but it very easily could have been.",en,"none that push against the tide are praised, . i watched a grown man burst into tears today remembering a victim of the manchester arena bombing. just a child. we can't co-exist. enoughisenough wasn't his daughter, but it very easily could have been."
dechet_les,@GAZAWOOD1 Now she is even speaking for the dead\nDid she ask them\n@GAZAWOOD1 \n#IslamIsTheProblem https://t.co/OCgvb3xusK,en,now she is even speaking for the dead did she ask them
valess11,The message is -&gt; EAT MOTE BACON INFRONT OF THEM ! ! ! \nMake your choices and let others make theirs!\n#Islamistheproblem,en,the message is -&gt; eat mote bacon infront of them ! ! ! make your choices and let others make theirs!
iuptr,The ENEMY amongst ourselves. I think this is absolutely SHOCKING. This has NO PLACE in Western Civilization. #Iram #ismal #islamIsTheProblem #FuckIslam https://t.co/53QiK99SHz,en,the enemy amongst ourselves. i think this is absolutely shocking. this has no place in western civilization. iram ismal fuckislam
DDT_required,Have this IMBECILE JUDGE AMY MEACHUM live IN Epic city and see how quick she stops defending these MUSLIM ANIMALS! #IslamIsTheProblem #Islamic_Terrorists_Organization \n#StopImportingIslam #StopIslam #BanIslam #StopShariaLaw #EducateYourselfOnIslam #WakeUpAmerica,en,have this imbecile judge amy meachum live in epic city and see how quick she stops defending these muslim animals! islamic_terrorists_organization stopimportingislam stopsharialaw educateyourselfonislam wakeupamerica
CaliDreamingof,"@VividProwess All Islam, all of the #DeathCult, want to expand. Their mass-murd*ring, pedophile prophet conveyed the words of their god that demand expansion. Demand all other faiths be taxed or killed if they do not convert.\n\n#IslamIsTheProblem All of Islam is radical.",en,"all islam, all of the deathcult, want to expand. their mass-murd*ring, pedophile prophet conveyed the words of their god that demand expansion. demand all other faiths be taxed or killed if they do not convert. all of islam is radical."
Bryan_APDS,"@JonesHowDareYou What's more important, for chrissakes you people are deluded.......\n#IslamIsTheProblem https://t.co/v4a2XHkte7",en,"what's more important, for chrissakes you people are deluded......."
InnerFalcon,@geertwilderspvv Islam is hate\nIslam is fear\nIslam is war\nIslam is rape\nIslam is obscene \nIslam is a whore\n#IslamIsTheProblem,en,islam is hate islam is fear islam is war islam is rape islam is obscene islam is a whore
MarkGriffin59,"This provides an excellent insight into the muslim mindset:\n\nIt shows the influence islam has over every muslim, whether deeply adherent or not.\n\nIslam is incompatible with liberal British society now it's grown in number &amp; influence!\n\n#IslamIsTheProblem #WakeUpUK",en,"this provides an excellent insight into the muslim mindset: it shows the influence islam has over every muslim, whether deeply adherent or not. islam is incompatible with liberal british society now it's grown in number &amp; influence! wakeupuk"
cleaver66811,"@ukhomeoffice @ShabanaMahmood @MayorofLondon @cabinetofficeuk @Keir_Starmer &gt;&gt;&gt; He's making a reasonable point, don't you think?!\n#islamistheproblem #remigration",en,"&gt;&gt;&gt; he's making a reasonable point, don't you think?! remigration"
MartinCainActon,@JuliaHB1 @LeeHurstComic Surprised it has taken so long.\nThe scum are probably known to @metpoliceuk  security services &amp; @DWPgovuk \nFor almost 3 years @MayorofLondon has encouraged hate marches &amp; will now deflect blame away from their Koran that orders them to commit such vile acts.\n#IslamIsTheProblem,en,surprised it has taken so long. the scum are probably known to security services &amp; for almost 3 years has encouraged hate marches &amp; will now deflect blame away from their koran that orders them to commit such vile acts.
NatalieGT80,💯 Agreed \n#Islamistheproblem\n#Islam #Evil \n#GoldersGreen,en,agreed islam evil goldersgreen
MarkDur06554409,@AlboMP Yet you import people who want a civil war.\nHow can you Labor be so stupid?\n\n#IslamIsTheProblem,en,yet you import people who want a civil war. how can you labor be so stupid?
MarkDur06554409,@step10459 @Pwoodee67 @AlboMP Your 'old man' would be horrified to find out who Labor are letting swarm into Australia. \nAnd how many.\n\n#IslamIsTheProblem,en,your 'old man' would be horrified to find out who labor are letting swarm into australia. and how many.
sk_lakhawat,@VividProwess They cant live or CoExist peacefully \n#Islamistheproblem \n#BanTheBook \n#UsmaniKitab,en,they cant live or coexist peacefully banthebook usmanikitab
sk_lakhawat,@Lawyer_Kalpana The Pathetic clan 🤧🤧\nThey can't coexist peacefully \n#Islamistheproblem \n#BanTheBook \n#UsmaniKitab,en,the pathetic clan they can't coexist peacefully banthebook usmanikitab
sk_lakhawat,@LizaRosen0000 #Islamistheproblem \n#BanTheBook \n#UsmaniKitab \nThey can never CoExist peacefully \n\n@BBCNews @10DowningStreet \n@UKParliament,en,banthebook usmanikitab they can never coexist peacefully
sk_lakhawat,"@JaipurDialogues 😱🤔😠😠\n\n#Piramal \n#TCS\n#Islamistheproblem \n#BanTheBook \n#UsmaniKitab \n\nFew can never CoExist peacefully , hardly follow the Law of Land \nPathetic sact \n🤮🤮🤮💩🤧🤧",en,"piramal tcs banthebook usmanikitab few can never coexist peacefully , hardly follow the law of land pathetic sact"
